Reconnaissance,Reconnaissance,Resource Development,Resource Development,Initial Access,Initial Access,Execution,Execution,Persistence,Persistence,Privilege Escalation,Privilege Escalation,Defense Evasion,Defense Evasion,Credential Access,Credential Access,Discovery,Discovery,Lateral Movement,Lateral Movement,Collection,Collection,Command and Control,Command and Control,Exfiltration,Exfiltration,Impact,Impact
Active Scanning,Scanning IP Blocks,Acquire Infrastructure,Botnet,Drive-by Compromise,,Command and Scripting Interpreter,AppleScript,Account Manipulation,Additional Cloud Credentials,Abuse Elevation Control Mechanism,Bypass User Account Control,Abuse Elevation Control Mechanism,Bypass User Account Control,Adversary-in-the-Middle,ARP Cache Poisoning,Account Discovery,Cloud Account,Exploitation of Remote Services,,Adversary-in-the-Middle,ARP Cache Poisoning,Application Layer Protocol,DNS,Automated Exfiltration,Traffic Duplication,Account Access Removal,
Active Scanning,Vulnerability Scanning,Acquire Infrastructure,DNS Server,Exploit Public-Facing Application,,Command and Scripting Interpreter,JavaScript,Account Manipulation,Additional Cloud Roles,Abuse Elevation Control Mechanism,Elevated Execution with Prompt,Abuse Elevation Control Mechanism,Elevated Execution with Prompt,Adversary-in-the-Middle,DHCP Spoofing,Account Discovery,Domain Account,Internal Spearphishing,,Adversary-in-the-Middle,DHCP Spoofing,Application Layer Protocol,File Transfer Protocols,Data Transfer Size Limits,,Data Destruction,
Active Scanning,Wordlist Scanning,Acquire Infrastructure,Domains,External Remote Services,,Command and Scripting Interpreter,Network Device CLI,Account Manipulation,Additional Email Delegate Permissions,Abuse Elevation Control Mechanism,Setuid and Setgid,Abuse Elevation Control Mechanism,Setuid and Setgid,Adversary-in-the-Middle,LLMNR/NBT-NS Poisoning and SMB Relay,Account Discovery,Email Account,Lateral Tool Transfer,,Adversary-in-the-Middle,LLMNR/NBT-NS Poisoning and SMB Relay,Application Layer Protocol,Mail Protocols,Exfiltration Over Alternative Protocol,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Data Encrypted for Impact,
Gather Victim Host Information,Client Configurations,Acquire Infrastructure,Server,Hardware Additions,,Command and Scripting Interpreter,PowerShell,Account Manipulation,Device Registration,Abuse Elevation Control Mechanism,Sudo and Sudo Caching,Abuse Elevation Control Mechanism,Sudo and Sudo Caching,Brute Force,Credential Stuffing,Account Discovery,Local Account,Remote Service Session Hijacking,RDP Hijacking,Archive Collected Data,Archive via Custom Method,Application Layer Protocol,Web Protocols,Exfiltration Over Alternative Protocol,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,Data Manipulation,Runtime Data Manipulation
Gather Victim Host Information,Firmware,Acquire Infrastructure,Serverless,Phishing,Spearphishing Attachment,Command and Scripting Interpreter,Python,Account Manipulation,SSH Authorized Keys,Access Token Manipulation,Create Process with Token,Access Token Manipulation,Create Process with Token,Brute Force,Password Cracking,Application Window Discovery,,Remote Service Session Hijacking,SSH Hijacking,Archive Collected Data,Archive via Library,Communication Through Removable Media,,Exfiltration Over Alternative Protocol,Exfiltration Over Unencrypted Non-C2 Protocol,Data Manipulation,Stored Data Manipulation
Gather Victim Host Information,Hardware,Acquire Infrastructure,Virtual Private Server,Phishing,Spearphishing Link,Command and Scripting Interpreter,Unix Shell,BITS Jobs,,Access Token Manipulation,Make and Impersonate Token,Access Token Manipulation,Make and Impersonate Token,Brute Force,Password Guessing,Browser Bookmark Discovery,,Remote Services,Distributed Component Object Model,Archive Collected Data,Archive via Utility,Data Encoding,Non-Standard Encoding,Exfiltration Over C2 Channel,,Data Manipulation,Transmitted Data Manipulation
Gather Victim Host Information,Software,Acquire Infrastructure,Web Services,Phishing,Spearphishing via Service,Command and Scripting Interpreter,Visual Basic,Boot or Logon Autostart Execution,Active Setup,Access Token Manipulation,Parent PID Spoofing,Access Token Manipulation,Parent PID Spoofing,Brute Force,Password Spraying,Cloud Infrastructure Discovery,,Remote Services,Remote Desktop Protocol,Audio Capture,,Data Encoding,Standard Encoding,Exfiltration Over Other Network Medium,Exfiltration Over Bluetooth,Defacement,External Defacement
Gather Victim Identity Information,Credentials,Compromise Accounts,Cloud Accounts,Replication Through Removable Media,,Command and Scripting Interpreter,Windows Command Shell,Boot or Logon Autostart Execution,Authentication Package,Access Token Manipulation,SID-History Injection,Access Token Manipulation,SID-History Injection,Credentials from Password Stores,Credentials from Web Browsers,Cloud Service Dashboard,,Remote Services,SMB/Windows Admin Shares,Automated Collection,,Data Obfuscation,Junk Data,Exfiltration Over Physical Medium,Exfiltration over USB,Defacement,Internal Defacement
Gather Victim Identity Information,Email Addresses,Compromise Accounts,Email Accounts,Supply Chain Compromise,Compromise Hardware Supply Chain,Container Administration Command,,Boot or Logon Autostart Execution,Kernel Modules and Extensions,Access Token Manipulation,Token Impersonation/Theft,Access Token Manipulation,Token Impersonation/Theft,Credentials from Password Stores,Keychain,Cloud Service Discovery,,Remote Services,SSH,Browser Session Hijacking,,Data Obfuscation,Protocol Impersonation,Exfiltration Over Web Service,Exfiltration to Cloud Storage,Disk Wipe,Disk Content Wipe
Gather Victim Identity Information,Employee Names,Compromise Accounts,Social Media Accounts,Supply Chain Compromise,Compromise Software Dependencies and Development Tools,Deploy Container,,Boot or Logon Autostart Execution,LSASS Driver,Boot or Logon Autostart Execution,Active Setup,BITS Jobs,,Credentials from Password Stores,Password Managers,Cloud Storage Object Discovery,,Remote Services,VNC,Clipboard Data,,Data Obfuscation,Steganography,Exfiltration Over Web Service,Exfiltration to Code Repository,Disk Wipe,Disk Structure Wipe
