reference,citation,url
00sec Droppers,"0x00pico. (2017, September 25). Super-Stealthy Droppers. Retrieved October 4, 2021.",https://0x00sec.org/t/super-stealthy-droppers/3715
20 macOS Common Tools and Techniques,"Phil Stokes. (2021, February 16). 20 Common Tools & Techniques Used by macOS Threat Actors & Malware. Retrieved August 23, 2021.",https://labs.sentinelone.com/20-common-tools-techniques-used-by-macos-threat-actors-malware/
360 Machete Sep 2020,"kate. (2020, September 25). APT-C-43 steals Venezuelan military secrets to provide intelligence support for the reactionaries — HpReact campaign. Retrieved November 20, 2020.",https://blog.360totalsecurity.com/en/apt-c-43-steals-venezuelan-military-secrets-to-provide-intelligence-support-for-the-reactionaries-hpreact-campaign/
401 TRG Winnti Umbrella May 2018,"Hegel, T. (2018, May 3). Burning Umbrella: An Intelligence Report on the Winnti Umbrella and Associated State-Sponsored Attackers. Retrieved July 8, 2018.",https://401trg.github.io/pages/burning-umbrella.html
7zip Homepage,"I. Pavlov. (2019). 7-Zip. Retrieved February 20, 2020.",https://www.7-zip.org/
AADInternals,"Dr. Nestori Syynimaa. (2018, October 25). AADInternals. Retrieved February 1, 2022.",https://o365blog.com/aadinternals/
AADInternals - BPRT,"Dr. Nestori Syynimaa. (2021, January 31). BPRT unleashed: Joining multiple devices to Azure AD and Intune. Retrieved March 4, 2022.",https://o365blog.com/post/bprt/
AADInternals - Conditional Access Bypass,"Dr. Nestori Syynimaa. (2020, September 6). Bypassing conditional access by faking device compliance. Retrieved March 4, 2022.",https://o365blog.com/post/mdm
AADInternals - Device Registration,"Dr. Nestori Syynimaa. (2021, March 3). Deep-dive to Azure AD device join. Retrieved March 9, 2022.",https://o365blog.com/post/devices/
AADInternals Azure AD On-Prem to Cloud,"Dr. Nestori Syynimaa. (2020, July 13). Unnoticed sidekick: Getting access to cloud as an on-prem admin. Retrieved September 28, 2022.",https://o365blog.com/post/on-prem_admin/
AADInternals Documentation,"Dr. Nestori Syynimaa. (2018, October 25). AADInternals. Retrieved February 18, 2022.",https://o365blog.com/aadinternals
AADInternals Github,"Dr. Nestori Syynimaa. (2021, December 13). AADInternals. Retrieved February 1, 2022.",https://github.com/Gerenios/AADInternals
AADInternals zure AD Federated Domain,"Dr. Nestori Syynimaa. (2017, November 16). Security vulnerability in Azure AD & Office 365 identity federation. Retrieved September 28, 2022.",https://o365blog.com/post/federation-vulnerability/
ACSC Email Spoofing,"Australian Cyber Security Centre. (2012, December). Mitigating Spoofed Emails Using Sender Policy Framework. Retrieved October 19, 2020.",https://www.cyber.gov.au/sites/default/files/2019-03/spoof_email_sender_policy_framework.pdf
ADDSecurity DCShadow Feb 2018,"Lucand,G. (2018, February 18). Detect DCShadow, impossible?. Retrieved March 30, 2018.",https://adds-security.blogspot.fr/2018/02/detecter-dcshadow-impossible.html
ADSecurity AD Kerberos Attacks,"Metcalf, S. (2014, November 22). Mimikatz and Active Directory Kerberos Attacks. Retrieved June 2, 2016.",https://adsecurity.org/?p=556
