name,ID,description,collection layers,platforms,created,modified,type,version,url,contributors
Active Directory,DS0026,"A database and set of services that allows administrators to manage permissions, access to network resources, and stored data objects (user, group, application, or devices)(Citation: Microsoft AD DS Getting Started)","Cloud Control Plane, Host","Azure AD, Windows",20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0026,Center for Threat-Informed Defense (CTID)
Active Directory: Active Directory Credential Request,,"A user requested active directory credentials, such as a ticket or token (ex: Windows EID 4769)",,,20 October 2021,,datacomponent,1.0,,
Active Directory: Active Directory Object Access,,"Opening of an active directory object, typically to collect/read its value (ex: Windows EID 4661)",,,20 October 2021,,datacomponent,1.0,,
Active Directory: Active Directory Object Creation,,Initial construction of a new active directory object (ex: Windows EID 5137),,,20 October 2021,,datacomponent,1.0,,
Active Directory: Active Directory Object Deletion,,Removal of an active directory object (ex: Windows EID 5141),,,20 October 2021,,datacomponent,1.0,,
Active Directory: Active Directory Object Modification,,Changes made to an active directory object (ex: Windows EID 5163 or 5136),,,20 October 2021,,datacomponent,1.0,,
Application Log,DS0015,"Events collected by third-party services such as mail servers, web applications, or other appliances (not by the native OS or platform)(Citation: Confluence Logs)","Cloud Control Plane, Host","Google Workspace, IaaS, Linux, Office 365, SaaS, Windows, macOS",20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0015,
Application Log: Application Log Content,,"Logging, messaging, and other artifacts provided by third-party services (ex: metrics, errors, and/or alerts from mail/web applications)",,,20 October 2021,,datacomponent,1.0,,
Certificate,DS0037,"A digital document, which highlights information such as the owner's identity, used to instill trust in public keys used while encrypting network communications",OSINT,PRE,20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0037,
Certificate: Certificate Registration,,Queried or logged information highlighting current and expired digital certificates (ex: Certificate transparency),,,20 October 2021,,datacomponent,1.0,,
Cloud Service,DS0025,"Infrastructure, platforms, or software that are hosted on-premise or by third-party providers, made available to users through network connections and/or APIs(Citation: Amazon AWS)(Citation: Azure Products)",Cloud Control Plane,"Azure AD, Google Workspace, IaaS, Office 365, SaaS",20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0025,Center for Threat-Informed Defense (CTID)
Cloud Service: Cloud Service Disable,,Deactivation or stoppage of a cloud service (ex: AWS Cloudtrail StopLogging),,,20 October 2021,,datacomponent,1.0,,
Cloud Service: Cloud Service Enumeration,,An extracted list of cloud services (ex: AWS ECS ListServices),,,20 October 2021,,datacomponent,1.0,,
Cloud Service: Cloud Service Metadata,,"Contextual data about a cloud service and activity around it such as name, type, or purpose/function",,,20 October 2021,,datacomponent,1.0,,
Cloud Service: Cloud Service Modification,,"Changes made to a cloud service, including its settings and/or data (ex: AWS CloudTrail DeleteTrail or DeleteConfigRule)",,,20 October 2021,,datacomponent,1.0,,
Cloud Storage,DS0010,"Data object storage infrastructure hosted on-premise or by third-party providers, made available to users through network connections and/or APIs(Citation: Amazon S3)(Citation: Azure Blob Storage)(Citation: Google Cloud Storage)",Cloud Control Plane,IaaS,20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0010,Center for Threat-Informed Defense (CTID)
Cloud Storage: Cloud Storage Access,,"Opening of a cloud storage infrastructure, typically to collect/read its value (ex: AWS S3 GetObject)",,,20 October 2021,,datacomponent,1.0,,
Cloud Storage: Cloud Storage Creation,,Initial construction of new cloud storage infrastructure (ex: AWS S3 CreateBucket),,,20 October 2021,,datacomponent,1.0,,
Cloud Storage: Cloud Storage Deletion,,Removal of cloud storage infrastructure (ex: AWS S3 DeleteBucket),,,20 October 2021,,datacomponent,1.0,,
Cloud Storage: Cloud Storage Enumeration,,An extracted list of cloud storage infrastructure (ex: AWS S3 ListBuckets or ListObjects),,,20 October 2021,,datacomponent,1.0,,
Cloud Storage: Cloud Storage Metadata,,"Contextual data about cloud storage infrastructure and activity around it such as name, size, or owner",,,20 October 2021,,datacomponent,1.0,,
Cloud Storage: Cloud Storage Modification,,"Changes made to cloud storage infrastructure, including its settings and/or data (ex: AWS S3 PutObject or PutObjectAcl)",,,20 October 2021,,datacomponent,1.0,,
Command,DS0017,"A directive given to a computer program, acting as an interpreter of some kind, in order to perform a specific task(Citation: Confluence Linux Command  Line)(Citation: Audit OSX)","Container, Host","Containers, Linux, Network, Windows, macOS",20 October 2021,,datasource,1.1,https://attack.mitre.org/data-sources/DS0017,"Austin Clark, @c2defense; Center for Threat-Informed Defense (CTID)"
Command: Command Execution,,"The execution of a line of text, potentially with arguments, created from program code (e.g. a cmdlet executed via powershell.exe, interactive commands like >dir, shell executions, etc. )",,,20 October 2021,,datacomponent,1.1,,
Container,DS0032,A standard unit of virtualized software that packages up code and all its dependencies so the application runs quickly and reliably from one computing environment to another(Citation: Docker Docs Container),Container,Containers,20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0032,Center for Threat-Informed Defense (CTID)
Container: Container Creation,,Initial construction of a new container (ex: docker create <container_name>),,,20 October 2021,,datacomponent,1.0,,
Container: Container Enumeration,,An extracted list of containers (ex: docker ps),,,20 October 2021,,datacomponent,1.0,,
Container: Container Metadata,,"Contextual data about a container and activity around it such as name, ID, image, or status",,,20 October 2021,,datacomponent,1.0,,
Container: Container Start,,Activation or invocation of a container (ex: docker start or docker restart),,,20 October 2021,,datacomponent,1.0,,
Domain Name,DS0038,Information obtained (commonly through registration or activity logs) regarding one or more IP addresses registered with human readable names (ex: mitre.org),OSINT,PRE,20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0038,
Domain Name: Active DNS,,Queried domain name system (DNS) registry data highlighting current domain to IP address resolutions (ex: dig/nslookup queries),,,20 October 2021,,datacomponent,1.0,,
Domain Name: Domain Registration,,Information about domain name assignments and other domain metadata (ex: WHOIS),,,20 October 2021,,datacomponent,1.0,,
Domain Name: Passive DNS,,Logged domain name system (DNS) data highlighting timelines of domain to IP address resolutions (ex: passive DNS),,,20 October 2021,,datacomponent,1.0,,
