ID,name,description,url,created,last modified,version,contributors,associated groups,associated groups citations,relationship citations
G0099,APT-C-36,"[APT-C-36](https://attack.mitre.org/groups/G0099) is a suspected South America espionage group that has been active since at least 2018. The group mainly targets Colombian government institutions as well as important corporations in the financial sector, petroleum industry, and professional manufacturing.(Citation: QiAnXin APT-C-36 Feb2019)",https://attack.mitre.org/groups/G0099,05 May 2020,26 May 2021,1.1,Jose Luis Sánchez Martinez,Blind Eagle,(Citation: QiAnXin APT-C-36 Feb2019),"(Citation: QiAnXin APT-C-36 Feb2019),(Citation: QiAnXin APT-C-36 Feb2019),"
G0006,APT1,"[APT1](https://attack.mitre.org/groups/G0006) is a Chinese threat group that has been attributed to the 2nd Bureau of the People’s Liberation Army (PLA) General Staff Department’s (GSD) 3rd Department, commonly known by its Military Unit Cover Designator (MUCD) as Unit 61398. (Citation: Mandiant APT1)",https://attack.mitre.org/groups/G0006,31 May 2017,26 May 2021,1.4,,"Comment Crew, Comment Group, Comment Panda","(Citation: Mandiant APT1), (Citation: Mandiant APT1), (Citation: CrowdStrike Putter Panda)","(Citation: Mandiant APT1),(Citation: McAfee Oceansalt Oct 2018),(Citation: Mandiant APT1 Appendix),(Citation: Mandiant APT1),(Citation: FireEye PLA),(Citation: Mandiant APT1 Appendix),"
G0005,APT12,"[APT12](https://attack.mitre.org/groups/G0005) is a threat group that has been attributed to China. The group has targeted a variety of victims including but not limited to media outlets, high-tech companies, and multiple governments.(Citation: Meyers Numbered Panda)",https://attack.mitre.org/groups/G0005,31 May 2017,30 March 2020,2.1,,"DNSCALC, DynCalc, IXESHE, Numbered Panda","(Citation: Moran 2014), (Citation: Meyers Numbered Panda) (Citation: Moran 2014), (Citation: Meyers Numbered Panda) (Citation: Moran 2014), (Citation: Meyers Numbered Panda)","(Citation: Trend Micro IXESHE 2012),(Citation: Moran 2013),(Citation: Moran 2014),(Citation: Trend Micro IXESHE 2012),(Citation: Meyers Numbered Panda),(Citation: Moran 2014),"
G0023,APT16,[APT16](https://attack.mitre.org/groups/G0023) is a China-based threat group that has launched spearphishing campaigns targeting Japanese and Taiwanese organizations. (Citation: FireEye EPS Awakens Part 2),https://attack.mitre.org/groups/G0023,31 May 2017,26 July 2022,1.1,,,,"(Citation: FireEye EPS Awakens Part 2),(Citation: FireEye EPS Awakens Part 2),"
G0025,APT17,"[APT17](https://attack.mitre.org/groups/G0025) is a China-based threat group that has conducted network intrusions against U.S. government entities, the defense industry, law firms, information technology companies, mining companies, and non-government organizations. (Citation: FireEye APT17)",https://attack.mitre.org/groups/G0025,31 May 2017,13 October 2020,1.1,,Deputy Dog,(Citation: FireEye APT17),"(Citation: FireEye APT17),(Citation: FireEye APT17),"
G0026,APT18,"[APT18](https://attack.mitre.org/groups/G0026) is a threat group that has operated since at least 2009 and has targeted a range of industries, including technology, manufacturing, human rights groups, government, and medical. (Citation: Dell Lateral Movement)",https://attack.mitre.org/groups/G0026,31 May 2017,30 March 2020,2.1,,"Dynamite Panda, TG-0416, Threat Group-0416","(Citation: ThreatStream Evasion Analysis)(Citation: Anomali Evasive Maneuvers July 2015), (Citation: ThreatStream Evasion Analysis)(Citation: Anomali Evasive Maneuvers July 2015), (Citation: ThreatStream Evasion Analysis)","(Citation: Dell Lateral Movement),(Citation: RSA2017 Detect and Respond Adair),(Citation: Palo Alto DNS Requests),(Citation: ThreatStream Evasion Analysis),(Citation: PaloAlto DNS Requests May 2016),(Citation: Dell Lateral Movement),(Citation: Anomali Evasive Maneuvers July 2015),(Citation: RSA2017 Detect and Respond Adair),"
G0073,APT19,"[APT19](https://attack.mitre.org/groups/G0073) is a Chinese-based threat group that has targeted a variety of industries, including defense, finance, energy, pharmaceutical, telecommunications, high tech, education, manufacturing, and legal services. In 2017, a phishing campaign was used to target seven law and investment firms. (Citation: FireEye APT19) Some analysts track [APT19](https://attack.mitre.org/groups/G0073) and [Deep Panda](https://attack.mitre.org/groups/G0009) as the same group, but it is unclear from open source information if the groups are the same. (Citation: ICIT China's Espionage Jul 2016) (Citation: FireEye APT Groups) (Citation: Unit 42 C0d0so0 Jan 2016)",https://attack.mitre.org/groups/G0073,17 October 2018,26 May 2021,1.4,Darren Spruell; FS-ISAC,"C0d0so0, Codoso, Codoso Team, Sunshop Group","(Citation: Unit 42 C0d0so0 Jan 2016), (Citation: Unit 42 C0d0so0 Jan 2016), (Citation: FireEye APT Groups), (Citation: Dark Reading Codoso Feb 2015)","(Citation: FireEye APT19),(Citation: NCSC Joint Report Public Tools),(Citation: FireEye APT19),(Citation: Unit 42 C0d0so0 Jan 2016),(Citation: NCSC Joint Report Public Tools),"
G0007,APT28,"[APT28](https://attack.mitre.org/groups/G0007) is a threat group that has been attributed to Russia's General Staff Main Intelligence Directorate (GRU) 85th Main Special Service Center (GTsSS) military unit 26165.(Citation: NSA/FBI Drovorub August 2020)(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021) This group has been active since at least 2004.(Citation: DOJ GRU Indictment Jul 2018)(Citation: Ars Technica GRU indictment Jul 2018)(Citation: Crowdstrike DNC June 2016)(Citation: FireEye APT28)(Citation: SecureWorks TG-4127)(Citation: FireEye APT28 January 2017)(Citation: GRIZZLY STEPPE JAR)(Citation: Sofacy DealersChoice)(Citation: Palo Alto Sofacy 06-2018)(Citation: Symantec APT28 Oct 2018)(Citation: ESET Zebrocy May 2019)

[APT28](https://attack.mitre.org/groups/G0007) reportedly compromised the Hillary Clinton campaign, the Democratic National Committee, and the Democratic Congressional Campaign Committee in 2016 in an attempt to interfere with the U.S. presidential election. (Citation: Crowdstrike DNC June 2016) In 2018, the US indicted five GRU Unit 26165 officers associated with [APT28](https://attack.mitre.org/groups/G0007) for cyber operations (including close-access operations) conducted between 2014 and 2018 against the World Anti-Doping Agency (WADA), the US Anti-Doping Agency, a US nuclear facility, the Organization for the Prohibition of Chemical Weapons (OPCW), the Spiez Swiss Chemicals Laboratory, and other organizations.(Citation: US District Court Indictment GRU Oct 2018) Some of these were conducted with the assistance of GRU Unit 74455, which is also referred to as [Sandworm Team](https://attack.mitre.org/groups/G0034). ",https://attack.mitre.org/groups/G0007,31 May 2017,16 March 2022,4.0,"Drew Church, Splunk; Emily Ratliff, IBM; Richard Gold, Digital Shadows; Sébastien Ruel, CGI","Fancy Bear, Group 74, IRON TWILIGHT, Pawn Storm, SNAKEMACKEREL, STRONTIUM, Sednit, Sofacy, Swallowtail, TG-4127, Threat Group-4127, Tsar Team","(Citation: Crowdstrike DNC June 2016)(Citation: Kaspersky Sofacy)(Citation: ESET Sednit Part 3)(Citation: Ars Technica GRU indictment Jul 2018)(Citation: Talos Seduploader Oct 2017)(Citation: Symantec APT28 Oct 2018)(Citation: Securelist Sofacy Feb 2018)(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021), (Citation: Talos Seduploader Oct 2017), (Citation: Secureworks IRON TWILIGHT Profile)(Citation: Secureworks IRON TWILIGHT Active Measures March 2017), (Citation: SecureWorks TG-4127)(Citation: ESET Sednit Part 3)(Citation: TrendMicro Pawn Storm Dec 2020) , (Citation: Accenture SNAKEMACKEREL Nov 2018), (Citation: Kaspersky Sofacy)(Citation: ESET Sednit Part 3)(Citation: Microsoft STRONTIUM Aug 2019)(Citation: Microsoft STRONTIUM New Patterns Cred Harvesting Sept 2020)(Citation: TrendMicro Pawn Storm Dec 2020)(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021), This designation has been used in reporting both to refer to the threat group and its associated malware [JHUHUGIT](https://attack.mitre.org/software/S0044).(Citation: FireEye APT28 January 2017)(Citation: SecureWorks TG-4127)(Citation: Kaspersky Sofacy)(Citation: Ars Technica GRU indictment Jul 2018), This designation has been used in reporting both to refer to the threat group and its associated malware.(Citation: FireEye APT28)(Citation: SecureWorks TG-4127)(Citation: Crowdstrike DNC June 2016)(Citation: ESET Sednit Part 3)(Citation: Ars Technica GRU indictment Jul 2018)(Citation: Talos Seduploader Oct 2017), (Citation: Symantec APT28 Oct 2018), (Citation: SecureWorks TG-4127), (Citation: SecureWorks TG-4127), (Citation: ESET Sednit Part 3)(Citation: Talos Seduploader Oct 2017)(Citation: Talos Seduploader Oct 2017)","(Citation: Sofacy DealersChoice),(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021),(Citation: Unit42 Sofacy Dec 2018),(Citation: Kaspersky Sofacy),(Citation: Symantec APT28 Oct 2018),(Citation: ESET Sednit Part 3),(Citation: Überwachung APT28 Forfiles June 2015),(Citation: Unit42 Cannon Nov 2018),(Citation: Fysbis Palo Alto Analysis),(Citation: FireEye APT28),(Citation: ESET Zebrocy May 2019),(Citation: FireEye APT28 January 2017),(Citation: FireEye APT28 Hospitality Aug 2017),(Citation: NSA/FBI Drovorub August 2020),(Citation: XAgentOSX 2017),(Citation: Crowdstrike DNC June 2016),(Citation: Unit 42 Sofacy Feb 2018),(Citation: Palo Alto Sofacy 06-2018),(Citation: Secureworks IRON TWILIGHT Active Measures March 2017),(Citation: US District Court Indictment GRU Oct 2018),(Citation: Securelist Sofacy Feb 2018),(Citation: ESET LoJax Sept 2018),(Citation: Sofacy Komplex Trojan),(Citation: MS17-010 March 2017),(Citation: McAfee APT28 DDE2 Nov 2017),(Citation: Sofacy DealersChoice),(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021),(Citation: Unit42 Sofacy Dec 2018),(Citation: RSAC 2015 Abu Dhabi Stefano Maccaglia),(Citation: Microsoft STRONTIUM Aug 2019),(Citation: ESET Sednit Part 1),(Citation: Microsoft STRONTIUM New Patterns Cred Harvesting Sept 2020),(Citation: Symantec APT28 Oct 2018),(Citation: ESET Sednit Part 3),(Citation: Überwachung APT28 Forfiles June 2015),(Citation: Unit 42 Playbook Dec 2017),(Citation: Accenture SNAKEMACKEREL Nov 2018),(Citation: Unit42 Cannon Nov 2018),(Citation: Microsoft SIR Vol 19),(Citation: Trend Micro Pawn Storm April 2017),(Citation: ESET Sednit Part 2),(Citation: FireEye APT28),(Citation: ESET Zebrocy May 2019),(Citation: DOJ GRU Indictment Jul 2018),(Citation: FireEye APT28 Hospitality Aug 2017),(Citation: Trend Micro Pawn Storm OAuth 2017),(Citation: Bitdefender APT28 Dec 2015),(Citation: XAgentOSX 2017),(Citation: TrendMicro Pawn Storm 2019),(Citation: TrendMicro Pawn Storm Dec 2020),(Citation: Crowdstrike DNC June 2016),(Citation: McAfee APT28 DDE1 Nov 2017),(Citation: Unit 42 Sofacy Feb 2018),(Citation: Palo Alto Sofacy 06-2018),(Citation: Palo Alto Office Test Sofacy),(Citation: Microsoft Targeting Elections September 2020),(Citation: Secureworks IRON TWILIGHT Active Measures March 2017),(Citation: US District Court Indictment GRU Oct 2018),(Citation: Google TAG Ukraine Threat Landscape March 2022),(Citation: Securelist Sofacy Feb 2018),(Citation: ESET LoJax Sept 2018),(Citation: Talos Seduploader Oct 2017),(Citation: FireEye Op RussianDoll),"
G0016,APT29,"[APT29](https://attack.mitre.org/groups/G0016) is threat group that has been attributed to Russia's Foreign Intelligence Service (SVR).(Citation: White House Imposing Costs RU Gov April 2021)(Citation: UK Gov Malign RIS Activity April 2021) They have operated since at least 2008, often targeting government networks in Europe and NATO member countries, research institutes, and think tanks. [APT29](https://attack.mitre.org/groups/G0016) reportedly compromised the Democratic National Committee starting in the summer of 2015.(Citation: F-Secure The Dukes)(Citation: GRIZZLY STEPPE JAR)(Citation: Crowdstrike DNC June 2016)(Citation: UK Gov UK Exposes Russia SolarWinds April 2021)

In April 2021, the US and UK governments attributed the SolarWinds supply chain compromise cyber operation to the SVR; public statements included citations to [APT29](https://attack.mitre.org/groups/G0016), Cozy Bear, and The Dukes.(Citation: NSA Joint Advisory SVR SolarWinds April 2021)(Citation: UK NSCS Russia SolarWinds April 2021) Victims of this campaign included government, consulting, technology, telecom, and other organizations in North America, Europe, Asia, and the Middle East. Industry reporting referred to the actors involved in this campaign as UNC2452, NOBELIUM, StellarParticle, and Dark Halo.(Citation: FireEye SUNBURST Backdoor December 2020)(Citation: MSTIC NOBELIUM Mar 2021)(Citation: CrowdStrike SUNSPOT Implant January 2021)(Citation: Volexity SolarWinds)(Citation: Cybersecurity Advisory SVR TTP May 2021)",https://attack.mitre.org/groups/G0016,31 May 2017,11 July 2022,3.1,"Daniyal Naeem, BT Security; Katie Nickels, Red Canary; Matt Brenton, Zurich Insurance Group","Cozy Bear, CozyDuke, Dark Halo, IRON HEMLOCK, IRON RITUAL, NOBELIUM, NobleBaron, StellarParticle, The Dukes, UNC2452, YTTRIUM","(Citation: Crowdstrike DNC June 2016)(Citation: ESET Dukes October 2019)(Citation: NCSC APT29 July 2020)(Citation: Cybersecurity Advisory SVR TTP May 2021)(Citation: CrowdStrike StellarParticle January 2022), (Citation: Crowdstrike DNC June 2016), (Citation: Volexity SolarWinds), (Citation: Secureworks IRON HEMLOCK Profile), (Citation: Secureworks IRON RITUAL Profile), (Citation: MSTIC NOBELIUM Mar 2021)(Citation: MSTIC NOBELIUM May 2021)(Citation: MSTIC Nobelium Toolset May 2021)(Citation: MSRC Nobelium June 2021), (Citation: SentinelOne NobleBaron June 2021), (Citation: CrowdStrike SUNSPOT Implant January 2021)(Citation: CrowdStrike StellarParticle January 2022), (Citation: F-Secure The Dukes)(Citation: ESET Dukes October 2019)(Citation: NCSC APT29 July 2020)(Citation: Cybersecurity Advisory SVR TTP May 2021), (Citation: FireEye SUNBURST Backdoor December 2020), (Citation: Microsoft Unidentified Dec 2018)","(Citation: Cybersecurity Advisory SVR TTP May 2021),(Citation: CISA SoreFang July 2016),(Citation: MSTIC Nobelium Oct 2021),(Citation: SentinelOne NobleBaron June 2021),(Citation: Microsoft 365 Defender Solorigate),(Citation: CrowdStrike SUNSPOT Implant January 2021),(Citation: CrowdStrike StellarParticle January 2022),(Citation: CISA WellMail July 2020),(Citation: PWC WellMess July 2020),(Citation: MSTIC Nobelium Toolset May 2021),(Citation: Secureworks IRON RITUAL Profile),(Citation: MSTIC FoggyWeb September 2021),(Citation: Microsoft Analyzing Solorigate Dec 2020),(Citation: NCSC APT29 July 2020),(Citation: Symantec RAINDROP January 2021),(Citation: FireEye SUNBURST Backdoor December 2020),(Citation: FireEye POSHSPY April 2017),(Citation: PWC WellMess C2 August 2020),(Citation: Secureworks IRON RITUAL USAID Phish May 2021),(Citation: MSTIC NOBELIUM May 2021),(Citation: Secureworks IRON HEMLOCK Profile),(Citation: FireEye APT29 Nov 2018),(Citation: ESET Dukes October 2019),(Citation: CISA WellMess July 2020),(Citation: Volexity PowerDuke November 2016),(Citation: ESET T3 Threat Report 2021),(Citation: F-Secure The Dukes),(Citation: Mandiant No Easy Breach),(Citation: MSTIC NOBELIUM Mar 2021),(Citation: Cybersecurity Advisory SVR TTP May 2021),(Citation: MSRC Nobelium June 2021),(Citation: MSTIC Nobelium Oct 2021),(Citation: SentinelOne NobleBaron June 2021),(Citation: Microsoft 365 Defender Solorigate),(Citation: CrowdStrike SUNSPOT Implant January 2021),(Citation: Volexity SolarWinds),(Citation: CrowdStrike StellarParticle January 2022),(Citation: PWC WellMess July 2020),(Citation: Mandiant APT29 Trello),(Citation: Secureworks IRON RITUAL Profile),(Citation: Microsoft Analyzing Solorigate Dec 2020),(Citation: Suspected Russian Activity Targeting Government and Business Entities Around the Globe),(Citation: NCSC APT29 July 2020),(Citation: Symantec RAINDROP January 2021),(Citation: FireEye SUNSHUTTLE Mar 2021),(Citation: FireEye SUNBURST Backdoor December 2020),(Citation: PWC WellMess C2 August 2020),(Citation: Microsoft - Customer Guidance on Recent Nation-State Cyber Attacks),(Citation: Secureworks IRON RITUAL USAID Phish May 2021),(Citation: MSTIC NOBELIUM May 2021),(Citation: Secureworks IRON HEMLOCK Profile),(Citation: Symantec Seaduke 2015),(Citation: MagicWeb),(Citation: FireEye APT29 Nov 2018),(Citation: ESET Dukes October 2019),(Citation: ANSSI Nobelium Phishing December 2021),(Citation: FireEye APT29),(Citation: FireEye APT29 Domain Fronting),(Citation: Microsoft Internal Solorigate Investigation Blog),(Citation: ESET T3 Threat Report 2021),(Citation: Mandiant No Easy Breach),(Citation: Microsoft Deep Dive Solorigate January 2021),(Citation: F-Secure The Dukes),(Citation: MSTIC NOBELIUM Mar 2021),"
G0022,APT3,"[APT3](https://attack.mitre.org/groups/G0022) is a China-based threat group that researchers have attributed to China's Ministry of State Security.(Citation: FireEye Clandestine Wolf)(Citation: Recorded Future APT3 May 2017) This group is responsible for the campaigns known as Operation Clandestine Fox, Operation Clandestine Wolf, and Operation Double Tap.(Citation: FireEye Clandestine Wolf)(Citation: FireEye Operation Double Tap) As of June 2015, the group appears to have shifted from targeting primarily US victims to primarily political organizations in Hong Kong.(Citation: Symantec Buckeye)

In 2017, MITRE developed an APT3 Adversary Emulation Plan.(Citation: APT3 Adversary Emulation Plan)",https://attack.mitre.org/groups/G0022,31 May 2017,01 October 2021,1.4,Patrick Sungbahadoor,"Buckeye, Gothic Panda, Pirpi, TG-0110, Threat Group-0110, UPS Team","(Citation: Symantec Buckeye), (Citation: PWC Pirpi Scanbox) (Citation: Recorded Future APT3 May 2017) (Citation: Symantec Buckeye), (Citation: PWC Pirpi Scanbox), (Citation: Recorded Future APT3 May 2017) (Citation: Symantec Buckeye), (Citation: Recorded Future APT3 May 2017) (Citation: Symantec Buckeye), (Citation: FireEye Clandestine Wolf) (Citation: Recorded Future APT3 May 2017) (Citation: Symantec Buckeye)","(Citation: Symantec Buckeye),(Citation: FireEye Clandestine Fox Part 2),(Citation: FireEye Operation Double Tap),(Citation: FireEye Clandestine Wolf),(Citation: FireEye Clandestine Fox),(Citation: aptsim),(Citation: FireEye Clandestine Wolf),(Citation: evolution of pirpi),(Citation: Symantec Buckeye),(Citation: APT3 Adversary Emulation Plan),(Citation: Twitter Cglyer Status Update APT3 eml),(Citation: FireEye Clandestine Fox Part 2),(Citation: FireEye Operation Double Tap),"
