ID,name,description,url,created,last modified,version,relationship citations
M1036,Account Use Policies,"Configure features related to account use like login attempt lockouts, specific login times, etc.",https://attack.mitre.org/mitigations/M1036,11 June 2019,21 October 2022,1.0,
M1015,Active Directory Configuration,"Configure Active Directory to prevent use of certain techniques; use SID Filtering, etc.",https://attack.mitre.org/mitigations/M1015,06 June 2019,29 May 2020,1.1,"(Citation: ADSecurity Kerberos and KRBTGT),(Citation: SpecterOps Certified Pre Owned),(Citation: Microsoft Replication ACL),(Citation: Microsoft MS14-025),(Citation: Microsoft Netdom Trust Sept 2012),(Citation: AdSecurity Kerberos GT Aug 2015),(Citation: STIG krbtgt reset),(Citation: Microsoft Trust Considerations Nov 2014),(Citation: AdSecurity DCSync Sept 2015),(Citation: Mandiant Defend UNC2452 White Paper),(Citation: Microsoft SID Filtering Quarantining Jan 2009),(Citation: ADSecurity Mimikatz DCSync),(Citation: Microsoft Protected Users Security Group)"
M1049,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.,https://attack.mitre.org/mitigations/M1049,11 June 2019,31 March 2020,1.1,"(Citation: Chkrootkit Main),(Citation: Anomali Template Injection MAR 2018),(Citation: Microsoft AMSI June 2015),(Citation: SourceForge rkhunter)"
M1013,Application Developer Guidance,This mitigation describes any guidance or training given to developers of applications to avoid introducing security weaknesses that an adversary may be able to take advantage of.,https://attack.mitre.org/mitigations/M1013,25 October 2017,17 October 2018,1.0,"(Citation: Apple Developer Doco Hardened Runtime),(Citation: FireEye DLL Side-Loading),(Citation: Apple App Security Overview)"
M1048,Application Isolation and Sandboxing,Restrict execution of code to a virtual environment on or in transit to an endpoint system.,https://attack.mitre.org/mitigations/M1048,11 June 2019,31 March 2020,1.1,"(Citation: Microsoft Protected View),(Citation: Windows Blogs Microsoft Edge Sandbox),(Citation: Ars Technica Pwn2Own 2017 VM Escape),(Citation: Kubernetes Hardening Guide)"
M1047,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses.",https://attack.mitre.org/mitigations/M1047,11 June 2019,21 October 2022,1.1,"(Citation: SpecterOps Certified Pre Owned),(Citation: Microsoft Dynamic-Link Library Security),(Citation: FireEye ADFS),(Citation: Stealthbits Cracking AS-REP Roasting Jun 2019),(Citation: Microsoft Preauthentication Jul 2012),(Citation: Microsoft Get-InboxRule),(Citation: Cisco IOS Software Integrity Assurance - Change Control),(Citation: Kubernetes Hardening Guide),(Citation: Microsoft Sxstrace),(Citation: Cisco IOS Software Integrity Assurance - Image File Integrity),(Citation: Amazon S3 Security, 2019),(Citation: Mandiant Azure AD Backdoors),(Citation: Kifarunix - Task Scheduling in Linux),(Citation: GitHub Certify),(Citation: GitHub Bloodhound),(Citation: Vulnerability and Exploit Detector),(Citation: Secureworks - AT.exe Scheduled Task),(Citation: ADSecurity Finding Passwords in SYSVOL),(Citation: Pfammatter - Hidden Inbox Rules),(Citation: Microsoft Tim McMichael Exchange Mail Forwarding 2),(Citation: MagicWeb),(Citation: Microsoft CreateProcess),(Citation: Github UACMe),(Citation: Powersploit),(Citation: Cisco IOS Software Integrity Assurance - Image File Verification),(Citation: GitHub PSPKIAudit)"
M1040,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior.",https://attack.mitre.org/mitigations/M1040,11 June 2019,11 June 2019,1.0,"(Citation: win10_asr),(Citation: Microsoft_rec_block_rules),(Citation: Microsoft driver block rules),(Citation: Malicious Driver Reporting Center),(Citation: Enigma Reviving DDE Jan 2018),(Citation: Microsoft ASR Nov 2017)"
M1046,Boot Integrity,Use secure methods to boot a system and verify the integrity of the operating system and loading mechanisms.,https://attack.mitre.org/mitigations/M1046,11 June 2019,19 May 2020,1.0,"(Citation: Cisco IOS Software Integrity Assurance - Secure Boot),(Citation: TCG Trusted Platform Module),(Citation: TechNet Secure Boot Process),(Citation: ESET LoJax Sept 2018),(Citation: Microsoft TESTSIGNING Feb 2021),(Citation: Intel Hardware-based Security Technologies)"
M1045,Code Signing,Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.,https://attack.mitre.org/mitigations/M1045,11 June 2019,20 May 2020,1.1,"(Citation: Content trust in Docker),(Citation: applescript signing),(Citation: Cisco IOS Software Integrity Assurance - Deploy Signed IOS),(Citation: Content trust in Azure Container Registry)"
M1043,Credential Access Protection,Use capabilities to prevent successful credential access by adversaries; including blocking forms of credential dumping.,https://attack.mitre.org/mitigations/M1043,11 June 2019,21 October 2022,1.1,"(Citation: Cisco IOS Software Integrity Assurance - AAA),(Citation: Microsoft Enable Cred Guard April 2017),(Citation: Microsoft Credential Guard April 2017),(Citation: TechNet Credential Guard),(Citation: Cisco IOS Software Integrity Assurance - Credentials Management),(Citation: GitHub SHB Credential Guard)"
M1053,Data Backup,Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise.,https://attack.mitre.org/mitigations/M1053,19 July 2019,31 March 2020,1.1,"(Citation: Rhino S3 Ransomware Part 2),(Citation: Ready.gov IT DRP)"
