source ID,source name,source type,mapping type,target ID,target name,target type,mapping description
C0011,C0011,campaign,attributed-to,G0134,Transparent Tribe,group,(Citation: Cisco Talos Transparent Tribe Education Campaign July 2022)
,Active DNS,datacomponent,detects,T1583,Acquire Infrastructure,technique,"Monitor for queried domain name system (DNS) registry data that may buy, lease, or rent infrastructure that can be used during targeting. Detection efforts may be focused on related stages of the adversary lifecycle, such as during Command and Control."
,Active DNS,datacomponent,detects,T1584,Compromise Infrastructure,technique,"Monitor for queried domain name system (DNS) registry data that may compromise third-party infrastructure that can be used during targeting. Detection efforts may be focused on related stages of the adversary lifecycle, such as during Command and Control."
,Active DNS,datacomponent,detects,T1584.002,DNS Server,technique,"Monitor for queried domain name system (DNS) registry data that may compromise third-party DNS servers that can be used during targeting. Much of this activity will take place outside the visibility of the target organization, making detection of this behavior difficult. Detection efforts may be focused on related stages of the adversary lifecycle, such as during Command and Control."
,Active DNS,datacomponent,detects,T1583.001,Domains,technique,"Monitor queried domain name system (DNS) registry data for purchased domains that can be used during targeting. Reputation/category-based detection may be difficult until the categorization is updated. Detection efforts may be focused on related stages of the adversary lifecycle, such as during Initial Access and Command and Control."
,Active DNS,datacomponent,detects,T1584.001,Domains,technique,"Monitor for queried domain name system (DNS) registry data that may hijack domains and/or subdomains that can be used during targeting. Much of this activity will take place outside the visibility of the target organization, making detection of this behavior difficult. Detection efforts may be focused on related stages of the adversary lifecycle, such as during Command and Control."
,Active Directory Credential Request,datacomponent,detects,T1558.004,AS-REP Roasting,technique,"Monitor for anomalous activity, such as enabling Audit Kerberos Service Ticket Operations to log Kerberos TGS service ticket requests. Particularly investigate irregular patterns of activity (ex: accounts making numerous requests, Event ID 4768 and 4769, within a small time frame, especially if they also request RC4 encryption [Type 0x17], pre-authentication not required [Type: 0x0])."
,Active Directory Credential Request,datacomponent,detects,T1558.001,Golden Ticket,technique,"Monitor for anomalous Kerberos activity, such as malformed or blank fields in Windows logon/logoff events (Event ID 4769, 4768), RC4 encryption within TGTs, and TGS requests without preceding TGT requests. Monitor the lifetime of TGT tickets for values that differ from the default domain duration. Monitor for indications of Pass the Ticket being used to move laterally."
,Active Directory Credential Request,datacomponent,detects,T1558.003,Kerberoasting,technique,"Monitor for anomalous Kerberos activity, such as enabling Audit Kerberos Service Ticket Operations to log Kerberos TGS service ticket requests. Particularly investigate irregular patterns of activity (ex: accounts making numerous requests, Event ID 4769, within a small time frame, especially if they also request RC4 encryption [Type 0x17])."
,Active Directory Credential Request,datacomponent,detects,T1550.002,Pass the Hash,technique,Monitor requests of new ticket granting ticket or service tickets to a Domain Controller. Windows Security events such as 4768 (A Kerberos authentication ticket (TGT) was requested) and 4769 (A Kerberos service ticket was requested) combined with logon session creation information may be indicative of an overpass the hash attempt.
