ID,name,description,url,created,last modified,version,contributors,platforms,aliases,type,relationship citations
S0066,3PARA RAT,[3PARA RAT](https://attack.mitre.org/software/S0066) is a remote access tool (RAT) programmed in C++ that has been used by [Putter Panda](https://attack.mitre.org/groups/G0024). (Citation: CrowdStrike Putter Panda),https://attack.mitre.org/software/S0066,31 May 2017,30 March 2020,1.1,,Windows,,malware,"(Citation: CrowdStrike Putter Panda),,(Citation: CrowdStrike Putter Panda)"
S0065,4H RAT,[4H RAT](https://attack.mitre.org/software/S0065) is malware that has been used by [Putter Panda](https://attack.mitre.org/groups/G0024) since at least 2007. (Citation: CrowdStrike Putter Panda),https://attack.mitre.org/software/S0065,31 May 2017,30 March 2020,1.1,,Windows,,malware,"(Citation: CrowdStrike Putter Panda),,(Citation: CrowdStrike Putter Panda)"
S0677,AADInternals,"[AADInternals](https://attack.mitre.org/software/S0677) is a PowerShell-based framework for administering, enumerating, and exploiting Azure Active Directory. The tool is publicly available on GitHub.(Citation: AADInternals Github)(Citation: AADInternals Documentation)",https://attack.mitre.org/software/S0677,01 February 2022,03 August 2022,1.1,,"Azure AD, Office 365, Windows",,tool,"(Citation: MSTIC Nobelium Oct 2021),,(Citation: Azure AD Federation Vulnerability),(Citation: Azure AD Recon),(Citation: AADInternals Azure AD On-Prem to Cloud),(Citation: AADInternals Documentation)"
S0469,ABK,[ABK](https://attack.mitre.org/software/S0469) is a downloader that has been used by [BRONZE BUTLER](https://attack.mitre.org/groups/G0060) since at least 2019.(Citation: Trend Micro Tick November 2019),https://attack.mitre.org/software/S0469,10 June 2020,24 June 2020,1.0,,Windows,,malware,"(Citation: Trend Micro Tick November 2019),,(Citation: Trend Micro Tick November 2019)"
S0045,ADVSTORESHELL,[ADVSTORESHELL](https://attack.mitre.org/software/S0045) is a spying backdoor that has been used by [APT28](https://attack.mitre.org/groups/G0007) from at least 2012 to 2016. It is generally used for long-term espionage and is deployed on targets deemed interesting after a reconnaissance phase. (Citation: Kaspersky Sofacy) (Citation: ESET Sednit Part 2),https://attack.mitre.org/software/S0045,31 May 2017,30 March 2020,1.1,,Windows,"AZZY, EVILTOSS, NETUI, Sedreco",malware,"(Citation: Securelist Sofacy Feb 2018),(Citation: Kaspersky Sofacy),,(Citation: Bitdefender APT28 Dec 2015),(Citation: ESET Sednit Part 2),(Citation: Kaspersky Sofacy)"
S0073,ASPXSpy,[ASPXSpy](https://attack.mitre.org/software/S0073) is a Web shell. It has been modified by [Threat Group-3390](https://attack.mitre.org/groups/G0027) actors to create the ASPXTool version. (Citation: Dell TG-3390),https://attack.mitre.org/software/S0073,31 May 2017,22 September 2022,1.2,,Windows,ASPXTool,malware,"(Citation: Dell TG-3390),(Citation: Profero APT27 December 2020),(Citation: Volexity Exchange Marauder March 2021),(Citation: FireEye APT41 Aug 2019),(Citation: FireEye APT39 Jan 2019),(Citation: McAfee Night Dragon),(Citation: Dell TG-3390)"
S1028,Action RAT,[Action RAT](https://attack.mitre.org/software/S1028) is a  remote access tool written in Delphi that has been used by [SideCopy](https://attack.mitre.org/groups/G1008) since at least December 2021 against Indian and Afghani government personnel.(Citation: MalwareBytes SideCopy Dec 2021),https://attack.mitre.org/software/S1028,07 August 2022,24 August 2022,1.0,,Windows,,malware,",,(Citation: MalwareBytes SideCopy Dec 2021)"
S0552,AdFind,[AdFind](https://attack.mitre.org/software/S0552) is a free command-line query tool that can be used for gathering information from Active Directory.(Citation: Red Canary Hospital Thwarted Ryuk October 2020)(Citation: FireEye FIN6 Apr 2019)(Citation: FireEye Ryuk and Trickbot January 2019),https://attack.mitre.org/software/S0552,28 December 2020,29 September 2022,1.1,,Windows,,tool,"(Citation: Red Canary Hospital Thwarted Ryuk October 2020),(Citation: Microsoft Analyzing Solorigate Dec 2020),(Citation: FireEye FIN6 Apr 2019),(Citation: NCC Group TA505),(Citation: Symantec Cicada November 2020),(Citation: CrowdStrike StellarParticle January 2022),(Citation: ESET T3 Threat Report 2021),(Citation: DFIR Ryuk 2 Hour Speed Run November 2020),(Citation: CrowdStrike Carbon Spider August 2021),(Citation: FireEye Ryuk and Trickbot January 2019),(Citation: DFIR Ryuk's Return October 2020),(Citation: DFIR Conti Bazar Nov 2021),(Citation: FireEye FIN6 Apr 2019),(Citation: Symantec Bumblebee June 2022),(Citation: FireEye Ryuk and Trickbot January 2019),(Citation: Red Canary Hospital Thwarted Ryuk October 2020),(Citation: Cybereason Bumblebee August 2022)"
S0331,Agent Tesla,[Agent Tesla](https://attack.mitre.org/software/S0331) is a spyware Trojan written for the .NET framework that has been observed since at least 2014.(Citation: Fortinet Agent Tesla April 2018)(Citation: Bitdefender Agent Tesla April 2020)(Citation: Malwarebytes Agent Tesla April 2020),https://attack.mitre.org/software/S0331,29 January 2019,21 April 2021,1.2,,Windows,,malware,"(Citation: Unit42 SilverTerrier 2018),,(Citation: Malwarebytes Agent Tesla April 2020),(Citation: SentinelLabs Agent Tesla Aug 2020),(Citation: DigiTrust Agent Tesla Jan 2017),(Citation: Fortinet Agent Tesla April 2018),(Citation: Bitdefender Agent Tesla April 2020),(Citation: Talos Agent Tesla Oct 2018),(Citation: Fortinet Agent Tesla June 2017)"
S0092,Agent.btz,[Agent.btz](https://attack.mitre.org/software/S0092) is a worm that primarily spreads itself via removable devices such as USB drives. It reportedly infected U.S. military networks in 2008. (Citation: Securelist Agent.btz),https://attack.mitre.org/software/S0092,31 May 2017,30 March 2020,1.1,,Windows,,malware,",,(Citation: Securelist Agent.btz),(Citation: ThreatExpert Agent.btz)"
S1025,Amadey,[Amadey](https://attack.mitre.org/software/S1025) is a Trojan bot that has been used since at least October 2018.(Citation: Korean FSI TA505 2020)(Citation: BlackBerry Amadey 2020),https://attack.mitre.org/software/S1025,14 July 2022,14 October 2022,1.0,,Windows,,malware,"(Citation: Korean FSI TA505 2020),(Citation: BlackBerry Amadey 2020),,(Citation: Korean FSI TA505 2020),(Citation: BlackBerry Amadey 2020)"
S0504,Anchor,[Anchor](https://attack.mitre.org/software/S0504) is one of a family of backdoor malware that has been used in conjunction with [TrickBot](https://attack.mitre.org/software/S0266) on selected high profile targets since at least 2018.(Citation: Cyberreason Anchor December 2019)(Citation: Medium Anchor DNS July 2020),https://attack.mitre.org/software/S0504,10 September 2020,15 December 2021,1.0,"Cybereason Nocturnus, @nocturnus","Linux, Windows",Anchor_DNS,malware,",,(Citation: Cyberreason Anchor December 2019),(Citation: Medium Anchor DNS July 2020)"
S0584,AppleJeus,"[AppleJeus](https://attack.mitre.org/software/S0584) is a family of downloaders initially discovered in 2018 embedded within trojanized cryptocurrency applications. [AppleJeus](https://attack.mitre.org/software/S0584) has been used by [Lazarus Group](https://attack.mitre.org/groups/G0032), targeting companies in the energy, finance, government, industry, technology, and telecommunications sectors, and several countries including the United States, United Kingdom, South Korea, Australia, Brazil, New Zealand, and Russia. [AppleJeus](https://attack.mitre.org/software/S0584) has been used to distribute the [FALLCHILL](https://attack.mitre.org/software/S0181) RAT.(Citation: CISA AppleJeus Feb 2021)",https://attack.mitre.org/software/S0584,01 March 2021,28 September 2022,1.1,,"Windows, macOS",,malware,"(Citation: CISA AppleJeus Feb 2021),,(Citation: CISA AppleJeus Feb 2021),(Citation: ObjectiveSee AppleJeus 2019)"
S0622,AppleSeed,"[AppleSeed](https://attack.mitre.org/software/S0622) is a backdoor that has been used by [Kimsuky](https://attack.mitre.org/groups/G0094) to target South Korean government, academic, and commercial  targets since at least 2021.(Citation: Malwarebytes Kimsuky June 2021)",https://attack.mitre.org/software/S0622,10 June 2021,15 March 2022,1.1,,"Android, Windows",,malware,"(Citation: Malwarebytes Kimsuky June 2021),(Citation: KISA Operation Muzabi),,(Citation: Malwarebytes Kimsuky June 2021),(Citation: KISA Operation Muzabi)"
S0456,Aria-body,[Aria-body](https://attack.mitre.org/software/S0456) is a custom backdoor that has been used by [Naikon](https://attack.mitre.org/groups/G0019) since approximately 2017.(Citation: CheckPoint Naikon May 2020),https://attack.mitre.org/software/S0456,26 May 2020,19 August 2021,1.1,,Windows,,malware,"(Citation: CheckPoint Naikon May 2020),(Citation: Bitdefender Naikon April 2021),,(Citation: CheckPoint Naikon May 2020)"
S0099,Arp,[Arp](https://attack.mitre.org/software/S0099) displays and modifies information about a system's Address Resolution Protocol (ARP) cache. (Citation: TechNet Arp),https://attack.mitre.org/software/S0099,31 May 2017,07 December 2021,1.1,,"Linux, Windows, macOS",arp.exe,tool,"(Citation: Symantec Orangeworm April 2018),(Citation: Cybereason Cobalt Kitty 2017),(Citation: Kaspersky Turla),,(Citation: Palo Alto ARP),(Citation: TechNet Arp)"
S0373,Astaroth,"[Astaroth](https://attack.mitre.org/software/S0373) is a Trojan and information stealer known to affect companies in Europe, Brazil, and throughout Latin America. It has been known publicly since at least late 2017. (Citation: Cybereason Astaroth Feb 2019)(Citation: Cofense Astaroth Sept 2018)(Citation: Securelist Brazilian Banking Malware July 2020)",https://attack.mitre.org/software/S0373,17 April 2019,08 December 2020,2.0,"Carlos Borges, @huntingneo, CIP",Windows,Guildma,malware,",,(Citation: Cofense Astaroth Sept 2018),(Citation: Cybereason Astaroth Feb 2019),(Citation: Securelist Brazilian Banking Malware July 2020)"
S0438,Attor,[Attor](https://attack.mitre.org/software/S0438) is a Windows-based espionage platform that has been seen in use since 2013. [Attor](https://attack.mitre.org/software/S0438) has a loadable plugin architecture to customize functionality for specific targets.(Citation: ESET Attor Oct 2019),https://attack.mitre.org/software/S0438,06 May 2020,07 July 2020,1.0,ESET,Windows,,malware,",,(Citation: ESET Attor Oct 2019)"
S1029,AuTo Stealer,[AuTo Stealer](https://attack.mitre.org/software/S1029) is malware written in C++ has been used by [SideCopy](https://attack.mitre.org/groups/G1008) since at least December 2021 to target government agencies and personnel in India and Afghanistan.(Citation: MalwareBytes SideCopy Dec 2021),https://attack.mitre.org/software/S1029,07 August 2022,24 August 2022,1.0,,Windows,,malware,",,(Citation: MalwareBytes SideCopy Dec 2021)"
